timestamp_utc,model,status,prompt_chars,prompt_tokens,completion_tokens,total_tokens,latency_ms,response_chars,estimated_cost_usd,error
2026-07-12T16:58:39Z,gpt-4.1-mini-2025-04-14,ok_infer,1324,310,91,401,1560.92,365,0.0002696,
2026-07-12T16:58:40Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,312,105,417,1777.26,411,0.0002928,
2026-07-12T16:58:42Z,gpt-4.1-mini-2025-04-14,ok,5323,1184,107,1291,1797.61,514,0.0006448,
2026-07-12T16:58:44Z,gpt-4.1-mini-2025-04-14,ok,11961,2508,122,2630,1836.04,574,0.0011984,
2026-07-12T16:58:46Z,gpt-4.1-mini-2025-04-14,ok,3282,882,107,989,1599.37,571,0.000524,
2026-07-12T16:58:47Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,338,84,422,1462.7,412,0.0002696,
2026-07-12T16:58:49Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,338,87,425,1425.94,416,0.0002744,
2026-07-12T16:58:50Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,346,70,416,1205.53,288,0.0002504,
2026-07-12T16:58:51Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,346,78,424,1319.53,330,0.0002632,
2026-07-12T16:58:52Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,333,73,406,1252.0,295,0.00025,
2026-07-12T16:58:54Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,338,80,418,1449.36,321,0.0002632,
2026-07-12T16:58:55Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,334,69,403,1203.62,297,0.000244,
2026-07-12T16:58:57Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,335,114,449,1734.66,509,0.0003164,
2026-07-12T16:58:58Z,gpt-4.1-mini-2025-04-14,ok_infer,1322,323,83,406,1370.19,344,0.000262,
2026-07-12T16:59:00Z,gpt-4.1-mini-2025-04-14,ok,2391,1037,115,1152,1892.46,385,0.0005988,
2026-07-12T16:59:02Z,gpt-4.1-mini-2025-04-14,ok,2310,1014,115,1129,2040.42,377,0.0005896,
2026-07-12T16:59:04Z,gpt-4.1-mini-2025-04-14,ok,2307,1017,126,1143,1906.88,462,0.0006084,
2026-07-12T16:59:06Z,gpt-4.1-mini-2025-04-14,ok,2280,1008,126,1134,2326.28,414,0.0006048,
2026-07-12T16:59:08Z,gpt-4.1-mini-2025-04-14,ok,2293,1009,133,1142,1736.9,430,0.0006164,
2026-07-12T16:59:10Z,gpt-4.1-mini-2025-04-14,ok,1986,548,100,648,1733.26,418,0.0003792,
2026-07-12T16:59:12Z,gpt-4.1-mini-2025-04-14,ok,2150,632,152,784,2066.4,524,0.000496,
2026-07-12T16:59:14Z,gpt-4.1-mini-2025-04-14,ok,2510,901,88,989,1556.29,318,0.0005012,
2026-07-12T16:59:16Z,gpt-4.1-mini-2025-04-14,ok,4298,1278,136,1414,2231.27,591,0.0007288,
2026-07-12T16:59:18Z,gpt-4.1-mini-2025-04-14,ok,1423,562,93,655,1869.04,354,0.0003736,
2026-07-12T16:59:19Z,gpt-4.1-mini-2025-04-14,ok,1332,519,91,610,1560.81,357,0.0003532,
2026-07-12T16:59:21Z,gpt-4.1-mini-2025-04-14,ok,1549,576,131,707,1526.72,503,0.00044,
2026-07-12T16:59:22Z,gpt-4.1-mini-2025-04-14,ok_infer,1249,360,122,482,1748.0,570,0.0003392,
2026-07-12T16:59:24Z,gpt-4.1-mini-2025-04-14,ok,1364,536,102,638,1434.68,408,0.0003776,
2026-07-12T16:59:25Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,273,81,354,1339.9,404,0.0002388,
2026-07-12T16:59:27Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,281,77,358,1379.78,388,0.0002356,
2026-07-12T16:59:28Z,gpt-4.1-mini-2025-04-14,ok,4912,969,62,1031,1216.85,326,0.0004868,
2026-07-12T16:59:29Z,gpt-4.1-mini-2025-04-14,ok,8285,1528,75,1603,1166.49,400,0.0007312,
2026-07-12T16:59:31Z,gpt-4.1-mini-2025-04-14,ok,4360,898,93,991,1945.01,366,0.000508,
2026-07-12T16:59:32Z,gpt-4.1-mini-2025-04-14,ok,4236,960,84,1044,1270.36,366,0.0005184,
2026-07-12T16:59:34Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,292,68,360,1565.68,294,0.0002256,
2026-07-12T16:59:35Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,290,88,378,1565.01,380,0.0002568,
2026-07-12T16:59:37Z,gpt-4.1-mini-2025-04-14,ok,1267,435,79,514,1477.3,266,0.0003004,
2026-07-12T16:59:38Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,308,56,364,1171.81,211,0.0002128,
2026-07-12T16:59:40Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,294,91,385,2145.85,402,0.0002632,
2026-07-12T16:59:42Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,352,76,428,1321.31,345,0.0002624,
2026-07-12T16:59:43Z,gpt-4.1-mini-2025-04-14,ok,1681,569,80,649,1273.4,335,0.0003556,
2026-07-12T16:59:44Z,gpt-4.1-mini-2025-04-14,ok,1759,587,91,678,1213.08,335,0.0003804,
2026-07-12T16:59:45Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,277,67,344,1221.94,303,0.000218,
2026-07-12T16:59:47Z,gpt-4.1-mini-2025-04-14,ok,1881,730,95,825,1837.8,404,0.000444,
2026-07-12T16:59:49Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,298,89,387,1764.64,382,0.0002616,
2026-07-12T16:59:50Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,282,59,341,1028.71,306,0.0002072,
2026-07-12T16:59:51Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,286,71,357,1373.63,342,0.000228,
2026-07-12T16:59:53Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,329,85,414,1307.54,309,0.0002676,
2026-07-12T16:59:54Z,gpt-4.1-mini-2025-04-14,ok,1469,575,83,658,1209.27,336,0.0003628,
2026-07-12T16:59:55Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,291,67,358,1187.19,321,0.0002236,
2026-07-12T17:23:45Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,277,65,342,2947.61,384,0.0002148,
2026-07-12T17:23:45Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,279,80,359,3240.73,420,0.0002396,
2026-07-12T17:23:45Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,346,110,456,3033.04,458,0.0003144,
2026-07-12T17:23:45Z,gpt-4.1-mini-2025-04-14,ok,1467,523,91,614,3151.45,404,0.0003548,
2026-07-12T17:23:45Z,gpt-4.1-mini-2025-04-14,ok_infer,1307,290,102,392,3177.6,414,0.0002792,
2026-07-12T17:23:45Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,324,90,414,3299.81,323,0.0002736,
2026-07-12T17:23:45Z,gpt-4.1-mini-2025-04-14,ok,1811,574,127,701,3344.83,464,0.0004328,
2026-07-12T17:23:46Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,302,146,448,3554.62,619,0.0003544,
2026-07-12T17:23:46Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,320,130,450,3932.55,518,0.000336,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok,1437,572,94,666,1430.15,346,0.0003792,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok_infer,1357,309,64,373,1317.06,300,0.000226,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok,2465,687,117,804,1929.81,410,0.000462,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok,1210,399,86,485,4889.53,389,0.0002972,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok_infer,1305,351,107,458,1740.15,361,0.0003116,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok,3197,1027,91,1118,1595.65,467,0.0005564,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok,3082,896,103,999,1656.27,470,0.0005232,
2026-07-12T17:23:47Z,gpt-4.1-mini-2025-04-14,ok,1787,588,149,737,1832.34,471,0.0004736,
2026-07-12T17:23:48Z,gpt-4.1-mini-2025-04-14,ok,2003,709,96,805,2557.68,356,0.0004372,
2026-07-12T17:23:48Z,gpt-4.1-mini-2025-04-14,ok,1687,500,79,579,1315.04,309,0.0003264,
2026-07-12T17:23:48Z,gpt-4.1-mini-2025-04-14,ok,2046,644,75,719,1323.72,305,0.0003776,
2026-07-12T17:23:48Z,gpt-4.1-mini-2025-04-14,ok,1931,650,94,744,1354.14,464,0.0004104,
2026-07-12T17:23:48Z,gpt-4.1-mini-2025-04-14,ok,1188,454,118,572,1848.09,438,0.0003704,
2026-07-12T17:23:48Z,gpt-4.1-mini-2025-04-14,ok,1930,566,105,671,1422.76,506,0.0003944,
2026-07-12T17:23:49Z,gpt-4.1-mini-2025-04-14,ok,2055,581,102,683,1415.39,354,0.0003956,
2026-07-12T17:23:49Z,gpt-4.1-mini-2025-04-14,ok,1929,656,103,759,1556.15,432,0.0004272,
2026-07-12T17:23:49Z,gpt-4.1-mini-2025-04-14,ok,1704,486,82,568,1948.67,331,0.0003256,
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok_infer,1297,297,82,379,1141.38,332,0.00025,
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok_infer,1258,415,202,617,3683.67,713,0.0004892,
2026-07-12T17:23:50Z,gpt-4.1-mini-2025-04-14,ok,1367,406,91,497,1377.46,439,0.000308,
